ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_935	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Sphaerotilus
Seq_936	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_937	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified
Seq_938	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella
Seq_939	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_940	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_941	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_942	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_943	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_944	Bacteria	Planctomycetota	BD7-11	Unclassified	Unclassified	Unclassified
Seq_945	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_946	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Heliimonas
Seq_947	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Occallatibacter
Seq_948	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Unclassified
Seq_949	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Acidicapsa
Seq_950	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_951	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Unclassified
Seq_952	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Rickettsiella
Seq_953	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma
Seq_954	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Unclassified
Seq_955	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	Unclassified
Seq_956	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_957	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Lacisediminimonas
Seq_958	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_959	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
Seq_960	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_961	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_962	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified
Seq_963	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_964	Bacteria	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella
Seq_965	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_966	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Pajaroellobacter
Seq_967	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_968	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Granulicella
Seq_969	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_970	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Unclassified
Seq_971	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Unclassified
Seq_972	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_973	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_974	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Opitutus
Seq_975	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_976	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Unclassified
Seq_977	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified
Seq_978	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_979	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Unclassified
Seq_980	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_981	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_982	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_983	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_984	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Paraconexibacter
Seq_985	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Unclassified
Seq_986	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_987	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
Seq_988	Bacteria	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella
Seq_989	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
Seq_990	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera
Seq_991	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_992	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified
Seq_993	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_994	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus Nostocoida
Seq_995	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_996	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_997	Bacteria	Dependentiae	Babeliae	Babeliales	Unclassified	Unclassified
Seq_998	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_999	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Unclassified
Seq_1000	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1001	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus Nostocoida
Seq_1002	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_1003	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1004	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylovirgula
Seq_1005	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_1006	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1007	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Bradyrhizobium
Seq_1008	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_1009	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
Seq_1010	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Occallatibacter
Seq_1011	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_1012	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Unclassified
Seq_1013	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1014	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CWT CU03-E12	Unclassified
Seq_1015	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Unclassified
Seq_1016	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Koribacteraceae	Candidatus Koribacter
Seq_1017	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
Seq_1018	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Roseiarcus
Seq_1019	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1020	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1021	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1023	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_1024	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1025	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1026	Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Holosporaceae	Unclassified
Seq_1027	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
Seq_1028	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Edaphobacter
Seq_1029	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_1030	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_1031	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_1032	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella
Seq_1033	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1034	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
Seq_1035	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia
Seq_1036	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Occallatibacter
Seq_1037	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_1038	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified
Seq_1039	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma
Seq_1040	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Aquihabitans
Seq_1041	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Unclassified	Unclassified
Seq_1042	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Rhodanobacter
Seq_1043	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas
Seq_1044	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	Unclassified
Seq_1045	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Unclassified
Seq_1046	Bacteria	Pseudomonadota	Gammaproteobacteria	JG36-TzT-191	Unclassified	Unclassified
Seq_1047	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1048	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Seq_1049	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Unclassified
Seq_1050	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum
Seq_1051	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unclassified
Seq_1052	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Minicystis
Seq_1053	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera
Seq_1054	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1055	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1056	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga
Seq_1057	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1058	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_1059	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_1060	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_1061	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Rhodanobacter
Seq_1062	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_1063	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Unclassified
Seq_1064	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocella
Seq_1065	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella
Seq_1066	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_1067	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1068	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_1069	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_1070	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_1071	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_1072	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Telmatocola
Seq_1073	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Unclassified
Seq_1074	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Unclassified	Unclassified
Seq_1075	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Unclassified	Unclassified
Seq_1076	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Seq_1077	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_1078	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_1079	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Unclassified
Seq_1080	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_1081	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Unclassified
Seq_1082	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	AAP99
Seq_1083	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unclassified
Seq_1084	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1085	Bacteria	Pseudomonadota	Gammaproteobacteria	WD260	Unclassified	Unclassified
Seq_1086	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
Seq_1087	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Acidicapsa
Seq_1088	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1089	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_1090	Bacteria	Pseudomonadota	Gammaproteobacteria	JG36-TzT-191	Unclassified	Unclassified
Seq_1091	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1092	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified
Seq_1093	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera
Seq_1094	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_1095	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Rhodoblastus
Seq_1096	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Seq_1097	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Frateuria
Seq_1098	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1099	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_1100	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_1101	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Nemorincola
Seq_1102	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1103	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_1104	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CWT CU03-E12	Unclassified
Seq_1105	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Unclassified
Seq_1106	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Seq_1107	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_1108	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_1109	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Terrimicrobiaceae	FukuN18 freshwater group
Seq_1110	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Unclassified
Seq_1111	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1112	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Pajaroellobacter
Seq_1113	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Unclassified
Seq_1114	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Nemorincola
Seq_1115	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_1116	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1117	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Granulicella
Seq_1118	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1119	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Unclassified
Seq_1120	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_1121	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_1122	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Unclassified
Seq_1123	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_1124	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1125	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera
Seq_1126	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Unclassified	Unclassified
Seq_1127	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1128	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_1129	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera
Seq_1130	Bacteria	Patescibacteria	Parcubacteria	Candidatus Jorgensenbacteria	Unclassified	Unclassified
Seq_1131	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_1132	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Unclassified
Seq_1133	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified
Seq_1134	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Telmatobacter
Seq_1135	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Unclassified
Seq_1136	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
Seq_1137	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Labraceae	Labrys
Seq_1138	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1139	Bacteria	RCP2-54	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1140	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella
Seq_1141	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Cephaloticoccus
Seq_1142	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Unclassified
Seq_1143	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
Seq_1144	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_1145	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_1146	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Seq_1147	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1148	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1149	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1150	Bacteria	FCPU426	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1151	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_1152	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_1153	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Pajaroellobacter
Seq_1154	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_1155	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1156	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_1157	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Unclassified	Unclassified
Seq_1158	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1159	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Seq_1160	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Unclassified
Seq_1161	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified
Seq_1162	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_1163	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	URHD0088	Unclassified
Seq_1164	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
Seq_1165	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Cephaloticoccus
Seq_1166	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1167	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_1168	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified
Seq_1169	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1170	Bacteria	Actinomycetota	Actinobacteria	Catenulisporales	Actinospicaceae	Unclassified
Seq_1171	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1172	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_1173	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Unclassified
Seq_1174	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1175	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Seq_1176	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unclassified
Seq_1177	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Pajaroellobacter
Seq_1178	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_1179	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unclassified
Seq_1180	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_1181	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified
Seq_1182	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
Seq_1183	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
